可短租可短租可短租 重要的事情说三遍,罗湖-东门 笋岗东路2009号,480,https://sz.zu.anjuke.com/fangyuan/1238067334
喜欢大阳台的你 不容错过 近地铁 无只收房租,罗湖-草埔 金稻田路1141号,900,https://sz.zu.anjuke.com/fangyuan/1236667470
特力大厦 电梯精装1房1厅 朝南 住家办公均可,罗湖-翠竹 水贝二路56号,4000,https://sz.zu.anjuke.com/fangyuan/1239813296
宽敞大气 温馨风格 草埔 可短租 近地铁,罗湖-草埔 金稻田路1164号,900,https://sz.zu.anjuke.com/fangyuan/1236685874
整租合租都行 福田中心区 近地铁公交站 随时入住,福田-福田中心 福华三路289号,650,https://sz.zu.anjuke.com/fangyuan/1236608666
优惠房源没剩多少 近地铁超市 福田中心区 星河国际,福田-福田中心 福华三路289号,670,https://sz.zu.anjuke.com/fangyuan/1236607850
选房的差距等于生活品质的差距,罗湖-怡景 怡景路,330,https://sz.zu.anjuke.com/fangyuan/1238072921
房子是租的 但生活不是 3.0小区房直租新家具让你更舒适,福田-赤尾 滨河大道3161号,1810,https://sz.zu.anjuke.com/fangyuan/1231355720
换房找我一定实惠 国贸近地铁 押一付一 大阳台,罗湖-国贸 沿河南路1181号,1280,https://sz.zu.anjuke.com/fangyuan/1236296526
优惠房源没剩多少 近地铁超市 东门 书院街5号大院,罗湖-东门 书院街5号,1910,https://sz.zu.anjuke.com/fangyuan/1235333566
家电家具全新 招租 每间配空调 国贸地铁附近,罗湖-国贸 春风路2033号,650,https://sz.zu.anjuke.com/fangyuan/1236699477
房东着急出租优惠  有独卫 阳光充足 精装修,罗湖-国贸 南湖路3028-3030号,870,https://sz.zu.anjuke.com/fangyuan/1236685406
免费高速网络 国贸近地铁交通方便 爱干净,罗湖-国贸 春风路2021号,530,https://sz.zu.anjuke.com/fangyuan/1236674309
全新家具家电安排上了 等你来 黄贝岭 已打扫干净,罗湖-黄贝岭 罗芳路,700,https://sz.zu.anjuke.com/fangyuan/1236671691
活动还没停 银湖 精装修 户型方正 不潮湿,罗湖-银湖 金湖路32号,930,https://sz.zu.anjuke.com/fangyuan/1234073369
不是你找不到房 而是你选错了地方,罗湖-翠竹 田贝四路72号,490,https://sz.zu.anjuke.com/fangyuan/1238037407
为了能住好房，你被骗了几次,福田-新洲 新洲南路3139号,670,https://sz.zu.anjuke.com/fangyuan/1238051921
